monomer,monomer_class,monomer_smiles,optical_gap_n6_eV,optical_gap_method,optical_gap_n1_eV,optical_gap_n2_eV,optical_gap_n3_eV,optical_gap_n4_eV,optical_gap_n5_eV,optical_gap_converged,monomer_HL_gap_eV
"3,4-difluorothiophene",halothiophene,Fc1cscc1F,2.981,stda-xtb,5.461,4.226,3.6,3.286,3.078,True,3.8466000000000005
"3,4-dimethylfuran",alkylfuran,Cc1cocc1C,2.927,stda-xtb,5.598,4.182,3.452,3.253,3.058,False,4.6455
"3,4-dimethylpyrrole",alkylpyrrole,Cc1c[nH]cc1C,3.732,stda-xtb,5.067,4.676,4.16,3.86,3.776,True,4.861599999999999
3-fluorothiophene,halothiophene,Fc1ccsc1,2.819,stda-xtb,5.358,4.089,3.492,3.169,2.963,False,3.8424000000000005
3-hexylfuran,alkylfuran,CCCCCCc1ccoc1,2.875,stda-xtb,5.576,4.249,3.549,3.206,2.998,False,4.6133
3-hexylselenophene,alkylselenophene,CCCCCCc1cc[se]c1,2.805,stda-xtb,5.405,4.033,3.605,3.131,2.935,False,2.9837999999999996
3-hexylthiophene,alkylthiophene,CCCCCCc1ccsc1,2.802,stda-xtb,5.426,4.03,3.429,3.119,2.928,False,3.8695999999999993
3-methoxythiophene,alkoxythiophene,COc1ccsc1,2.674,stda-xtb,4.836,3.804,3.273,2.987,2.803,False,3.4852
3-methylfuran,alkylfuran,Cc1ccoc1,2.875,stda-xtb,5.576,4.249,3.549,3.206,2.998,False,4.6209999999999996
3-methylthiophene,alkylthiophene,Cc1ccsc1,2.802,stda-xtb,5.426,4.03,3.429,3.119,2.928,False,3.8614999999999995
"9,9-dimethylfluorene",fluorene,CC1(C)c2ccccc2-c2ccccc21,4.126,stda-xtb,4.694,4.247,4.052,4.067,4.119,True,3.4077
CPDT,fused donor,c1cc2c(s1)-c1sccc1C2,2.349,stda-xtb,3.728,2.96,2.647,2.484,2.392,True,2.6212999999999997
EDOP,alkylenedioxypyrrole,c1[nH]cc2c1OCCO2,3.16,stda-xtb,4.666,4.197,3.779,3.459,3.269,False,4.655600000000001
EDOS,alkylenedioxyselenophene,c1[se]cc2c1OCCO2,2.849,stda-xtb,4.968,3.966,3.343,3.049,2.972,False,2.613100000000001
EDOT,alkylenedioxythiophene,c1scc2c1OCCO2,2.659,stda-xtb,5.044,3.848,3.251,2.954,2.79,False,3.6433999999999997
N-methylpyrrole,N-substituted pyrrole,Cn1cccc1,4.214,stda-xtb,5.273,4.822,4.409,4.404,4.19,True,4.9141
N-octylpyrrole,N-substituted pyrrole,CCCCCCCCn1cccc1,4.214,stda-xtb,5.273,4.822,4.409,4.404,4.19,True,4.8891
N-vinylcarbazole,carbazole,C=Cn1c2ccccc2c2ccccc21,3.992,stda-xtb,3.895,3.841,3.821,3.889,3.967,True,3.018299999999999
ProDOT,alkylenedioxythiophene,c1scc2c1OCCCO2,2.676,stda-xtb,5.126,4.119,3.641,3.167,2.802,False,3.598700000000001
aniline,aniline,Nc1ccccc1,3.553,stda-xtb,4.528,3.882,3.673,3.593,3.547,True,3.910399999999999
benzothiadiazole-thiophene D-A,donor-acceptor,c1csc(-c2ccc3nsnc3c2)c1,3.364,stda-xtb,3.863,3.514,3.434,3.402,3.404,True,1.9350999999999985
bifuran,oligofuran,c1coc(-c2ccco2)c1,2.758,stda-xtb,4.319,3.279,2.927,2.765,2.698,True,3.1365000000000007
bithiophene,oligothiophene,c1csc(-c2ccsc2)c1,3.302,stda-xtb,4.516,3.579,3.426,3.353,3.379,True,3.1565000000000003
carbazole,carbazole,c1ccc2c(c1)[nH]c1ccccc12,4.036,stda-xtb,4.021,3.953,3.932,3.98,4.063,True,3.2275
diphenylamine,arylamine,c1ccc(Nc2ccccc2)cc1,3.858,stda-xtb,4.181,3.828,3.724,3.779,3.841,True,3.4421999999999997
"dithieno[3,2-b:2',3'-d]pyrrole",fused donor,c1cc2[nH]c3ccsc3c2s1,2.685,stda-xtb,4.483,3.322,2.987,2.81,2.721,True,2.976800000000001
"fluorene 9,9-dioctyl",fluorene,CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccccc21,4.126,stda-xtb,4.694,4.247,4.052,4.067,4.119,True,3.3876999999999997
furan,heteroaromatic,c1ccoc1,2.927,stda-xtb,5.498,4.319,3.629,3.279,3.064,False,4.7089
o-methoxyaniline,aniline,COc1ccccc1N,3.537,stda-xtb,4.349,3.807,3.546,3.516,3.545,True,3.7894999999999994
o-toluidine,aniline,Cc1ccccc1N,3.662,stda-xtb,4.499,3.857,3.695,3.624,3.649,True,3.901699999999999
pyrrole,heteroaromatic,c1cc[nH]c1,3.246,stda-xtb,4.968,4.509,3.88,3.568,3.383,False,4.915399999999999
selenophene,heteroaromatic,c1cc[se]c1,2.825,stda-xtb,5.321,4.077,3.487,3.161,2.961,False,2.996200000000001
terfuran,oligofuran,c1coc(-c2ccc(-c3ccco3)o2)c1,2.846,stda-xtb,3.629,2.927,2.724,2.758,2.743,False,2.5465999999999998
terthiophene,oligothiophene,c1csc(-c2ccc(-c3cccs3)s2)c1,2.559,stda-xtb,3.484,2.836,2.618,2.566,2.575,True,2.2059000000000006
"thieno[3,4-b]pyrazine",donor-acceptor,c1cnc2cscc2n1,2.09,stda-xtb,3.242,2.475,2.201,2.137,2.116,True,1.4026999999999994
thiophene,heteroaromatic,c1ccsc1,2.836,stda-xtb,5.354,4.078,3.484,3.169,2.971,False,3.963000000000001
